iter	Passed	Remaining
471	653	731
472	654	729
473	655	727
474	656	725
475	657	723
476	658	721
477	659	719
478	659	717
479	660	715
480	661	713
481	661	711
482	663	710
483	664	708
484	664	705
485	665	703
486	666	701
487	667	700
488	668	698
489	669	696
490	670	695
491	671	693
492	672	691
493	673	689
494	673	687
495	674	685
496	675	683
497	675	681
498	676	679
499	677	677
500	678	675
501	678	673
502	680	672
503	681	670
504	681	668
505	682	666
506	683	664
507	684	662
508	685	661
509	686	659
510	687	657
511	687	655
512	688	653
513	689	651
514	690	650
515	690	648
516	691	646
517	692	644
518	693	642
519	693	640
520	694	638
521	695	636
522	696	634
523	696	633
524	697	631
525	698	629
526	699	627
527	700	625
528	701	624
529	701	622
530	702	620
531	703	618
532	704	616
533	704	615
534	706	613
535	706	611
536	707	610
537	708	608
538	709	606
539	710	605
540	711	603
541	711	601
542	712	599
543	713	597
544	714	596
545	715	594
546	716	593
547	717	591
548	718	589
549	718	588
550	719	586
551	720	584
552	720	582
553	721	580
554	722	579
555	722	577
556	723	575
557	724	574
558	725	572
559	726	571
560	727	569
561	728	567
562	729	566
563	731	565
564	732	563
565	733	562
566	734	560
567	734	558
568	735	557
569	736	555
570	737	553
571	738	552
572	738	550
573	739	548
574	740	547
575	741	545
576	741	543
577	742	542
578	743	540
579	744	538
580	744	537
581	745	535
582	747	534
583	748	532
584	748	531
585	749	529
586	750	528
587	751	526
588	752	524
589	753	523
590	754	522
591	755	520
592	756	519
593	757	517
594	758	515
595	758	514
596	759	512
597	760	511
598	761	509
599	762	508
600	763	506
601	764	505
602	765	503
603	766	502
604	767	501
605	768	499
606	769	498
607	770	496
608	771	495
609	772	493
610	773	492
611	774	490
612	774	489
613	775	487
614	776	486
615	777	484
616	778	483
617	780	482
618	780	480
619	781	479
620	782	477
621	783	475
622	783	474
623	784	472
624	785	471
625	786	469
626	787	468
627	788	467
628	789	465
629	790	464
630	791	462
631	792	461
632	793	460
633	795	458
634	796	457
635	796	456
636	797	454
637	798	453
638	799	451
639	800	450
640	801	448
641	801	447
642	802	445
643	803	444
644	804	442
645	804	441
646	805	439
647	806	438
648	807	436
649	809	435
650	810	434
651	811	433
652	812	431
653	813	430
654	814	429
655	815	427
656	816	426
657	817	424
658	818	423
659	818	421
660	819	420
661	820	418
662	821	417
663	822	416
664	823	414
665	824	413
666	825	412
667	826	410
668	827	409
669	828	407
670	829	406
671	829	405
672	831	403
673	831	402
674	833	401
675	834	399
676	834	398
677	835	396
678	836	395
679	838	394
680	839	393
681	840	391
682	841	390
683	841	388
684	842	387
685	843	385
686	844	384
687	845	383
688	846	381
689	847	380
690	847	379
691	848	377
692	849	376
693	850	375
694	851	373
695	853	372
696	854	371
697	855	370
698	856	368
699	857	367
700	857	365
701	858	364
702	859	363
703	860	361
704	860	360
705	861	358
706	862	357
707	863	356
708	864	354
709	864	353
710	865	351
711	866	350
712	867	349
713	868	347
714	869	346
715	870	345
716	870	343
717	871	342
718	872	341
719	873	339
720	874	338
721	874	336
722	875	335
723	876	333
724	876	332
725	877	331
726	878	329
727	879	328
728	879	327
729	880	325
730	881	324
731	882	322
732	883	321
733	884	320
734	885	319
735	885	317
736	886	316
737	887	314
738	887	313
739	888	312
740	889	310
741	889	309
742	890	308
743	891	306
744	892	305
745	893	304
746	893	302
747	894	301
748	895	300
749	895	298
750	896	297
751	897	296
752	898	294
753	899	293
754	900	292
755	901	290
756	902	289
757	902	288
758	903	286
759	904	285
760	904	284
761	905	282
762	906	281
763	907	280
764	907	278
765	908	277
766	909	276
767	910	275
768	911	273
769	911	272
770	912	271
771	913	269
772	914	268
773	915	267
774	916	266
775	917	264
776	918	263
777	918	262
778	919	260
779	920	259
780	920	258
781	922	257
782	923	255
783	923	254
784	924	253
785	925	251
786	925	250
787	926	249
788	927	248
789	928	246
790	929	245
791	930	244
792	931	243
793	932	241
794	932	240
795	933	239
796	934	237
797	935	236
798	935	235
799	936	234
800	937	232
801	938	231
802	938	230
803	939	229
804	940	227
805	941	226
806	941	225
807	942	223
808	943	222
809	944	221
810	945	220
811	946	219
812	947	217
813	948	216
814	948	215
815	949	214
816	950	212
817	950	211
818	951	210
819	952	209
820	953	207
821	953	206
822	954	205
823	955	204
824	956	202
825	957	201
826	959	200
827	960	199
828	962	198
829	963	197
830	964	196
831	965	194
832	966	193
833	967	192
834	969	191
835	970	190
836	970	189
837	971	187
838	972	186
839	973	185
840	975	184
841	976	183
842	977	182
843	978	180
844	979	179
845	980	178
846	981	177
847	982	176
848	982	174
849	983	173
850	984	172
851	985	171
852	986	170
853	987	168
854	989	167
855	991	166
856	992	165
857	993	164
858	993	163
859	994	161
860	995	160
861	996	159
862	996	158
863	997	157
864	998	155
865	999	154
866	999	153
867	1000	152
868	1001	150
869	1001	149
870	1002	148
871	1003	147
872	1004	146
873	1005	144
874	1006	143
875	1007	142
876	1007	141
877	1008	140
878	1009	138
879	1010	137
880	1010	136
881	1011	135
882	1012	134
883	1013	132
884	1013	131
885	1014	130
886	1015	129
887	1016	128
888	1016	126
889	1017	125
890	1018	124
891	1019	123
892	1021	122
893	1021	121
894	1022	119
895	1023	118
896	1024	117
897	1024	116
898	1025	115
899	1027	114
900	1027	112
901	1028	111
902	1029	110
903	1030	109
904	1030	108
905	1031	107
906	1032	105
907	1033	104
908	1033	103
909	1035	102
910	1036	101
911	1037	100
912	1037	98
913	1038	97
914	1039	96
915	1040	95
916	1040	94
917	1041	93
918	1042	91
919	1043	90
920	1043	89
921	1044	88
922	1045	87
923	1046	86
924	1047	84
925	1047	83
926	1048	82
927	1049	81
928	1050	80
929	1051	79
930	1052	78
931	1053	76
932	1054	75
933	1055	74
934	1055	73
935	1056	72
936	1057	71
937	1058	69
938	1058	68
939	1059	67
940	1060	66
941	1060	65
942	1061	64
943	1062	63
944	1063	61
945	1063	60
946	1064	59
947	1065	58
948	1066	57
949	1067	56
950	1068	55
951	1069	53
952	1069	52
953	1070	51
954	1071	50
955	1071	49
956	1072	48
957	1074	47
958	1074	45
959	1075	44
960	1076	43
961	1076	42
962	1077	41
963	1078	40
964	1078	39
965	1079	38
966	1080	36
967	1081	35
968	1083	34
969	1084	33
970	1084	32
971	1085	31
972	1086	30
973	1087	29
974	1087	27
975	1088	26
976	1089	25
977	1090	24
978	1091	23
979	1092	22
980	1093	21
981	1094	20
982	1095	18
983	1096	17
984	1097	16
985	1098	15
986	1099	14
987	1100	13
988	1100	12
989	1101	11
990	1102	10
991	1103	8
992	1104	7
993	1105	6
994	1105	5
995	1106	4
996	1107	3
997	1107	2
998	1108	1
999	1109	0
